sin 0m59.304s 0m47.061s
cos 0m59.372s 0m46.488s
tan 1m1.800s 0m48.722s
asin 0m2.390s 0m2.418s
acos 0m2.464s 0m2.628s
atan 0m6.626s 0m6.687s
exp 0m32.716s 0m2.577s
log 0m2.829s 0m7.126s
log10 0m2.624s 0m9.440s
sqrt 0m0.702s 0m0.734s
cbrt 0m9.942s 0m10.033s
sinh 0m2.498s 0m2.528s
cosh 0m2.499s 0m2.505s
tanh 0m1.807s 0m1.847s
expm1 0m2.327s 0m2.390s
log1p 0m7.715s 0m7.488s
IEEEremainder 0m15.269s 0m15.006s
atan2 0m10.237s 0m10.060s
pow 0m52.760s 0m15.251s
hypot 0m53.328s 0m53.112s
